Año,Índice,Media,Desviación,Mínimo,Máximo,Mediana
2018,NDVI,0.41729378360590685,0.23583296357548877,-0.8173302088587114,0.9778597773950065,0.3570247932408989
2018,NDBI,-0.04186707105722428,0.18765144031419914,-0.6988869360429281,0.8333333315527065,-0.010335265941432987
2018,NDWI,-0.49384059517930173,0.1612181485647152,-0.9471106748804011,0.9176245208530592,-0.47883124613034245
2018,BSI,0.02221445807336389,0.18152816225542487,-0.695999999884,0.5716312052683468,0.06620439160207947
2020,NDVI,0.36496032009712426,0.22515546200502728,-0.6995412840025566,0.9333544904897881,0.28359593543092665
2020,NDBI,-0.01068683642589069,0.1925315187178881,-0.6925495126229881,0.7468531463308719,0.006412231665591083
2020,NDWI,-0.44177339254082276,0.16055595195039368,-0.8452400062858821,0.9233759020201623,-0.40225314764670206
2020,BSI,0.051219215398526634,0.17420398251994315,-0.6699943490921088,0.6457858766254067,0.08542389202771863
2022,NDVI,0.3729640074332547,0.22537313016641158,-0.5929850196616843,0.9299372799556467,0.30045321239657335
2022,NDBI,-0.01954584807621864,0.19255479429439865,-0.6878700086439425,0.7057367825845953,-0.0002081165452220709
2022,NDWI,-0.4483843916894007,0.16143548154973522,-0.8516298917912231,0.8714245253833406,-0.42245096059334
2022,BSI,0.03998532258291078,0.1759713401503035,-0.5931076178063622,0.518470511653616,0.07543375337984817
2024,NDVI,0.40455098535108047,0.22478946137382408,-0.7006073592707343,0.946470391276937,0.3524268916634227
2024,NDBI,-0.03145533807781138,0.19194847178516114,-0.6433325681824906,0.7495219880500178,-0.009514655480933568
2024,NDWI,-0.47550460140970924,0.16114166414573816,-0.8702688241620252,0.9138895643605232,-0.4601789219528107
2024,BSI,0.029963461754734803,0.17702780050816724,-0.6062489774895716,0.5754408879324356,0.06637076079251394
